Language, Program, PowerLimit, PSys, Package, Core, GPU, DRAM, Time(ms), User Time, System Time, Temperature, Memory, Perf
C, fannkuch-redux, -1,  75.44, 49.05, 48.46, 0.00, 0.99, 1968, 7812, 0, 40.0, , 1
C, fasta, -1,  13.58, 6.14, 5.94, 0.00, 0.35, 668, 647, 20, 34.0, , 1
C, fasta, -1,  12.50, 5.49, 5.29, 0.00, 0.33, 663, 650, 13, 36.8, , 1
C, fasta, -1,  12.71, 5.55, 5.35, 0.00, 0.34, 666, 649, 15, 36.8, , 1
C, fasta, -1,  12.52, 5.63, 5.42, 0.00, 0.34, 664, 653, 11, 37.0, , 1
C, fasta, -1,  12.70, 5.53, 5.34, 0.00, 0.34, 665, 651, 13, 37.0, , 1
C, fasta, -1,  12.49, 5.60, 5.40, 0.00, 0.34, 663, 650, 12, 37.0, , 1
C, fasta, -1,  12.29, 5.50, 5.30, 0.00, 0.34, 663, 644, 18, 37.0, , 1
C, fasta, -1,  12.31, 5.44, 5.24, 0.00, 0.34, 663, 652, 11, 36.5, , 1
C, fasta, -1,  12.30, 5.44, 5.24, 0.00, 0.34, 663, 651, 12, 36.5, , 1
C, fasta, -1,  12.25, 5.41, 5.21, 0.00, 0.34, 662, 650, 11, 36.2, , 1
C, fasta, -1,  12.45, 5.40, 5.20, 0.00, 0.34, 663, 645, 18, 36.2, , 1
C, fasta, -1,  12.48, 5.42, 5.22, 0.00, 0.34, 663, 648, 14, 36.5, , 1
C, fasta, -1,  12.46, 5.42, 5.22, 0.00, 0.34, 664, 645, 17, 36.5, , 1
C, fasta, -1,  12.63, 5.55, 5.35, 0.00, 0.34, 663, 653, 9, 36.2, , 1
C, fasta, -1,  12.37, 5.49, 5.30, 0.00, 0.33, 663, 646, 16, 36.2, , 1
C, fasta, -1,  12.58, 5.53, 5.33, 0.00, 0.34, 664, 653, 9, 36.2, , 1
C, fasta, -1,  12.68, 5.60, 5.40, 0.00, 0.34, 664, 648, 16, 36.2, , 1
C, fasta, -1,  12.53, 5.60, 5.40, 0.00, 0.34, 664, 639, 25, 36.8, , 1
C, fasta, -1,  12.58, 5.58, 5.38, 0.00, 0.33, 662, 651, 10, 36.8, , 1
C, fasta, -1,  12.47, 5.51, 5.31, 0.00, 0.34, 663, 647, 15, 37.0, , 1
C, k-nucleotide, -1,  110.28, 69.54, 68.64, 0.00, 3.02, 2782, 8972, 91, 39.8, , 1
C, k-nucleotide, -1,  107.01, 68.34, 67.50, 0.00, 2.65, 2676, 8711, 114, 39.8, , 1
C, k-nucleotide, -1,  113.39, 70.54, 69.56, 0.00, 3.33, 2902, 9171, 96, 39.2, , 1
C, k-nucleotide, -1,  120.68, 73.18, 72.03, 0.00, 4.07, 3125, 9616, 97, 39.5, , 1
C, k-nucleotide, -1,  115.39, 71.05, 70.01, 0.00, 3.56, 2992, 9224, 101, 39.2, , 1
C, k-nucleotide, -1,  117.63, 72.04, 70.96, 0.00, 3.73, 3057, 9364, 89, 39.8, , 1
C, k-nucleotide, -1,  116.04, 71.31, 70.26, 0.00, 3.59, 3042, 9251, 96, 39.8, , 1
C, k-nucleotide, -1,  114.96, 70.86, 69.82, 0.00, 3.54, 2969, 9227, 101, 40.0, , 1
C, k-nucleotide, -1,  110.13, 69.19, 68.31, 0.00, 2.94, 2756, 8997, 96, 40.5, , 1
C, k-nucleotide, -1,  107.72, 68.14, 67.29, 0.00, 2.70, 2677, 8788, 100, 41.0, , 1
C, k-nucleotide, -1,  109.16, 68.36, 67.50, 0.00, 2.79, 2730, 8837, 85, 40.5, , 1
C, k-nucleotide, -1,  115.02, 70.54, 69.50, 0.00, 3.52, 2983, 9194, 98, 40.0, , 1
C, k-nucleotide, -1,  112.95, 69.63, 68.69, 0.00, 3.20, 2851, 9076, 94, 41.2, , 1
C, k-nucleotide, -1,  111.99, 69.37, 68.43, 0.00, 3.11, 2857, 8987, 105, 40.8, , 1
C, k-nucleotide, -1,  111.20, 69.23, 68.33, 0.00, 3.00, 2790, 9021, 95, 41.5, , 1
C, k-nucleotide, -1,  116.02, 70.84, 69.80, 0.00, 3.64, 2965, 9331, 104, 40.8, , 1
C, k-nucleotide, -1,  112.14, 69.47, 68.52, 0.00, 3.18, 2856, 8982, 110, 41.5, , 1
C, k-nucleotide, -1,  112.85, 69.67, 68.71, 0.00, 3.25, 2844, 9116, 107, 42.2, , 1
C, k-nucleotide, -1,  116.90, 71.37, 70.30, 0.00, 3.70, 3014, 9363, 94, 41.5, , 1
C, k-nucleotide, -1,  116.65, 71.11, 70.04, 0.00, 3.70, 3000, 9346, 109, 41.8, , 1
C, mandelbrot, -1,  36.74, 23.45, 23.17, 0.00, 0.48, 944, 3758, 15, 37.0, , 1
C, mandelbrot, -1,  36.93, 23.49, 23.20, 0.00, 0.48, 944, 3752, 21, 43.8, , 1
C, mandelbrot, -1,  36.72, 23.56, 23.28, 0.00, 0.48, 946, 3763, 10, 37.2, , 1
C, mandelbrot, -1,  36.76, 23.49, 23.20, 0.00, 0.48, 944, 3760, 12, 43.0, , 1
C, mandelbrot, -1,  36.70, 23.48, 23.20, 0.00, 0.48, 945, 3764, 10, 37.0, , 1
C, mandelbrot, -1,  36.55, 23.53, 23.24, 0.00, 0.48, 944, 3762, 10, 43.5, , 1
C, mandelbrot, -1,  36.59, 23.56, 23.28, 0.00, 0.48, 944, 3763, 12, 37.2, , 1
C, mandelbrot, -1,  36.66, 23.54, 23.25, 0.00, 0.48, 945, 3764, 10, 43.5, , 1
C, mandelbrot, -1,  36.83, 23.61, 23.32, 0.00, 0.48, 945, 3755, 19, 37.2, , 1
C, mandelbrot, -1,  36.68, 23.50, 23.23, 0.00, 0.48, 944, 3756, 17, 44.5, , 1
C, mandelbrot, -1,  36.65, 23.52, 23.23, 0.00, 0.48, 944, 3759, 13, 37.2, , 1
C, mandelbrot, -1,  36.71, 23.61, 23.33, 0.00, 0.48, 945, 3761, 15, 44.2, , 1
C, mandelbrot, -1,  36.77, 23.55, 23.26, 0.00, 0.48, 944, 3760, 12, 37.0, , 1
C, mandelbrot, -1,  36.72, 23.53, 23.25, 0.00, 0.48, 944, 3763, 11, 44.2, , 1
C, mandelbrot, -1,  36.87, 23.55, 23.28, 0.00, 0.48, 944, 3759, 14, 37.5, , 1
C, mandelbrot, -1,  36.62, 23.54, 23.27, 0.00, 0.48, 945, 3759, 14, 44.0, , 1
C, mandelbrot, -1,  36.57, 23.47, 23.19, 0.00, 0.48, 944, 3756, 16, 37.5, , 1
